hist_text_classic,true_label,predicted_label,result,n_words
"The first recorded whereabouts of the mighty sorcerer now known as Felix Faust is from circa 5,000 BC, at which time he appeared in the legendary African empire of Kor.",DC Comics,DC Comics,Correct,30
"Donnie Gill was working as a minor hired thug for Hammer Industries until businessman Justin Hammer gave him a battlesuit reminiscent of the original Blizzard (Gregor Shapanka). Gill mastered the use of the battlesuit, grateful and excited by his new powers, and began his first assignment: to recapture the supervillain known as Force, an agent of Hammer who had deserted him. Gill and his allies, the Beetle (now, MACH-IV) and Blacklash (now, Whiplash) engaged Force and his new ally, Iron Man. During the battle, Force saw Gill as misguided and misled by Hammer as he once was, and he tried to reach out to the young villain. In the end, however, Blizzard accidentally tripped himself up, electrocuting himself and allowing himself to be captured while his allies fled.  Before he could be remanded to prison, Gill was rescued by the Rhino on behalf of Hammer, which served to strengthen Gill's loyalty to him and curtailed Tony Stark's efforts to lend Gill legal and moral guidance. Gill continued to work with Hammer and his agents, but Hammer knew of Stark's interest in helping Gill and used him as a bargaining chip to elicit Iron Man's help in taking down their mutual enemy, the Ghost. Iron Man and agents of Hammer managed to stop the Ghost, but the villains turned on Iron Man, abandoning the Blizzard. Gill still held hope that Hammer would rescue him, until Iron Man played a recording of Hammer's bargaining. Crushed, Gill allowed himself to be placed in custody.  Later returning to criminal activities, Gill appeared to hold no interest in reforming. He worked on behalf of the Spymaster once, trying to loot Stark Enterprises but was opposed by the Avengers, and he later turned to a solo career as a criminal. He attended the A.I.M. weapons expo on his own behalf, and later tried a replica of Shapanka's final Blizzard suit. This suit proved defective, and he managed to use this in court as testimony against its repair man, the Tinkerer, who was being sued by the Trapster. Later still, he tried robbing an armored car and faced the New Warriors, but a rogue Iron Man suit of armor viscously beat him.  With this series of failures, the Blizzard tried to be a part of a team again-- an mercenary group working on behalf of the Four Winds crime family. The group was hired to invade Agent X's headquarters, but they suffered a humiliating defeat.",Marvel Comics,Marvel Comics,Correct,408
"Upon learning that Emma la Porte was being transferred to a New York hospital, to undergo further treatment for the severe burning he was responsible for, Rusty Collins, a fellow X-Factor trainee, cut a deal with Masque, a dangerous member of the Morlocks, where he would sacrifice his looks to Masque's whims, if Masque restored Emma's face to beauty. Boom-Boom, Skids, and Artie Maddicks aided Rusty to the hospital, where Boom-Boom destroyed a wall to escape, and they brought Emma to The Alley. Masque held his end, but when Emma learned of the deal, she insisted her looks not come at such an expense. Rusty and Skids fought Masque and he undid his morphing of both Rusty and Emma, before retreating back into the sewer tunnels.   After Beast wouldn't believe her, about Cyclops talking to himself, Tabitha had set off another of her ""time bombs"" in the X-Factor laboratory as a prank and Beast and Iceman pursued her through the headquarters. Another member of the Fallen Angels, Ariel, used her powers to enable Tabitha to escape X-Factor headquarters, through a broom closet. After meeting Sunspot and Warlock, the group was joined by Siryn and Jamie Madrox, who Tabitha began another crush on, and teleported to the Valley of the Flame, on Dinosaur World, where they were joined by Moon Boy and Devil Dinosaur. Tabitha was teamed with Gomi the majority of the time, a fact she resented. After all of the mutant's powers, temporarily, went out-of-whack, due to Chance, Ariel suggested that they all leave and teleported them to the Coconut Grove, her home planet. The inhabitants of the Coconut Grove and the leader, Unipar, captured the Fallen Angels, intending to use them as experiments to continue their evolution, but the Angels worked together to defeat them and return home. Boom-Boom returned just in time to witness The Right soldiers kidnapping the children of X-Factor. Tabitha stowed away on their transport and followed them to their hide-away, where she rescued new recruit, Rictor and recognized The Right's Commander as X-Factor's PR man, Cameron Hodge. Tabitha and Rictor were immediately recaptured, however, until X-Factor arrived and rescued them.   After their defeat of Apocalypse, his Ship crash landed on their Complex and X-Factor began living on Apocalypse's sentient Ship, that had a barrier only mutants could enter, and Caliban left with Apocalypse. After the children were given Christmas gifts as donations, they decided to give them to the children who lost their homes during X-Factor's battle, a situation Boom-Boom had trouble dealing with.",Marvel Comics,Marvel Comics,Correct,421
"Samuel Smithers, a.k.a Plantman, was born in London and was orphaned at very young age. At some point during his childhood, he left the orphanage he was raised in. He went to work as a lab assistant to a well-known London botanist who was exploring the low-order mental activity of plant life. After ten years, the botanist died and Samuel came to the U.S., in hopes of continuing his work: an invention to make plant life smart enough for human beings to speak with and understand He did not have the proper education needed so Smithers went to work as a gardener in Glenville, Long Island, New York. He worked for Mr. Evans, who eventually fired him because he was spending more time working on his invention than gardening. Not long after, lightning struck his plant ray gun, giving it the power to control and animate all plant life. It was revealed later that this incident occurred because of the intervention of the plant-like race H'ylthri from the mystical city of K'un-Lun.   He made a disguise and called himself Plantman. Smithers then thought out a suitable revenge for his former boss Mr. Evans, framing him for robbery. However, Evans' daughter Dorrie was dating the Human Torch, who thwarted Plantman and cleared Evans' name. Even though the Human Torch destroyed Plantman's ray gun, Smithers escaped.   He then created another ray gun, even stronger than his first. He challenged the Human Torch to a duel in the botanical garden, but was defeated and taken to prison. Smithers allied himself with the Maggia and other super-powered crmininals and unsucessfully fought the XMen. as well as Captain America (and his partner the Falcon).  Later, he, along with the Porcupine and the Eel attended the Celestial Mind Control Movement established by Nebulon in the hopes of turning around their failing criminal careers. Smithers quickly left, as he thought that the movement was nothing more than a fraud. He devised a plan to kidnap millionaire Kyle Richmond, who was in hospital recuperating from brain surgery, and ransom him for fifty million dollars. He was opposed by Richmond's teammates, the Defenders, and was soon forced to retreat. He decided that he couldn't do it alone and returned to the Celestial Mind Control headquarters. When he saw his friends who were brainwashed by the movement, he changed his mind and wanted to leave. This time, however, Nebulon blasted him unconscious.  Smithers later branched out on his own to become a mastermind of a larger criminal operation. He developed his ""Pretty Poison"" which he field tested on his long-time nemesis Captain America. The toxin placed the Captain in a debilitating, life threateing coma.",Marvel Comics,Marvel Comics,Correct,444
"Despite initially succeeding, his plan was foiled by the Legends de-powering the object, and Eobard was vaporized by the Black Flash. Despite his erasure from existence, Eobard's time remnants are preserved throughout history by the Speed Force, keeping his past time travels intact in order to stabilize the timeline (where his manipulations of it span several years) and prevent further paradoxes. Later, Eobard mysteriously resurfaced as an ally of the New Reichsmen of Earth-X. He originally tried to carry out the Fuhrer's request to perform heart surgery on Overgirl. However when the Reichsmen's defeat eventually became inevitable, he abandoned his allies to their deaths at the hands of the Earth One heroes and Supergirl, running off to parts unknown.",DC Comics,DC Comics,Correct,119
"Greer Grant Nelson was the recipient of two separate sets of superhuman abilities, one scientific and one mystical in nature. As a laboratory assistant to Dr. Joanne Marie Tumolo, Nelson became involved in a physiological conditioning program that would enable a human being to attain his or her full physical and mental potential. Out of financial desperation, Dr. Tumolo had accepted private funding for the project from Malcolm Donalbain, an eccentric who planned to use her conditioning equipment in his nationwide chain of health clubs. Not trusting the test subject that Donalbain had coerced her to use, Tumolo had Nelson secretly undertake the experiment alongside the other woman. Donalbain's test subject, Shirlee Bryant, and Greer Nelson emerged from the battery of treatments with superhuman physical capabilities. Dressed in one of Donalbain's specially designed cat costumes, Bryant died in a test of her abilities. Donalbain had his henchmen set off dynamite charges in the laboratory to make it appear that Bryant had died accidentally in an explosion. Tumolo was injured in the explosion. Believing her mentor to be dead, Nelson determined to stop Donalbain's plans. She donned a stolen costume, and calling herself the Cat, thwarted Donalbain's plans and forced him to commit suicide. Nelson soon learned that Tumolo had not been killed but had been hospitalized for apparent brain damage. During this time, Nelson, as the Cat, pursued a brief career as a crimefighter, operating mostly within the Chicago area. Unknown to Nelson, Tumolo was a member of the Cat People, a race of humanoids magically evolved from cats in Europe during the Middle Ages. Prior to the explosion Donalbain had engineered, Tumolo had become aware of a plot by the subversive organization HYDRA to steal a bacterial culture that had been developed by Tumolo's ancestors. HYDRA had discovered the secret of Tumolo's ancestry and suspected her of possessing the formula for 'The Final Secret.' Tumolo had chosen to feign brain damage in order to evade HYDRA, but HYDRA abducted her from the private home where she had apparently been convalescing. Nelson put on her Cat costume and pursued them. HYDRA agents fled from the Cat's attack, but during the confrontation managed to shoot her with 'alpha radiation.' To save Nelson's life, Tumolo and the Cat People mystically transformed her into the legendary half-human, half-cat warrior they called the Tigra. As Tigra, Nelson helped the Cat People defeat the HYDRA agents. Although she was able to use the cat's-head amulet to change back to her human form, Nelson became so accustomed to and enamored of her feline form that she seldom made the transformation.",Marvel Comics,Marvel Comics,Correct,434
"Discovering that Matango's weakness was his old Green form, Swamp Thing used his own skin against him, and severed his connection to The Grey.  The Grey finds a new, more neutral vessel, who promises that he will wait until The Green's time has passed before allowing The Grey to inherit the earth.   After a time of being able to live happily with his family, Swamp Thing became aware of the resurgence of Sunderland Corporation as a threat to the environment. Now run by General Sunderland's daughter Constance, Sunderland Corporation took on a personal vendetta against the Swamp Thing while pursuing its greedy, destructive interests.  Meanwhile, Tefé's power over both plants and flesh became a matter of concern for her parents when she showed a tendency to horribly mangle and kill those who angered her. When she killed the family cat in anger, it was decided that Swamp Thing would consult the Parliament of Trees for help. The Parliament sent Lady Jane to act as Tefé's governess, allowsing Swamp Thing to focus his attention on protecting The Green.  Eventually, in Hell, the devil abdicated his rule, allowing many of the demons trapped there to escape - including Anton Arcane. Arcane returned to the land of the living with intent to possess the Tefé's body, and cause pain to his niece Abigail. However, Arcane's attempted coup was thwarted by the appearance of Agony and Ecstacy, but he vowed to return.  When Constance Sunderland had an occultist named Doctor Polygon resurrect her father from death, it provided Anton Arcane with a body to host his spirit. Using Sunderland's influence and his own power, Arcane managed to terrorize his niece once again.   With the threat of Anton Arcane's return, Abigail made Swamp Thing promise to stay with her and their daughter in order to protect them and be a husband and father. Reluctantly, he agreed - but the Parliament of Trees was displeased with the decision. When a great threat to the environment and The Green appeared, Swamp Thing was forced to choose between breaking his promise to Abby or allowing the Green to suffer. Ultimately, he chose neither, and created a double of himself to look after his family while he protected The Green. He had intended to return to his family once the threat was taken care of, but the Parliament prevented it - leaving his double to become firmly entrenched as the family man he could not be.  After being away for two weeks, Swamp Thing's body was restored, but with an altered appearance. The toxins gone, he returned to Louisiana to reunite with his family.",DC Comics,DC Comics,Correct,435
"Hit-Monkey lived in the mountainous wilderness as part of a clan of other monkeys. Members of this clan took in a fugitive assassin, nursing him back to health with herbal remedies and hot springs. Hit-Monkey disagreed with this, knowing that someone would eventually come looking for the assassin. Once the nameless assassin regained his health, he began to hone his skills once more, practising on snowmen. Hit-Monkey had studied this assassin, who had warned him against these evil ways. Hit-Monkey resorted to physical violence against the members of his clan over the continued presence of the assassin and was exiled to walk alone. He happened upon a group of soldiers in the woods who were looking for the assassin, and returned to the clan to give warning, but did not make it in time. The assassin and his clan were slain and Hit-Monkey sought vengeance, pick up the assassin's pistols and killing the soldiers. His home and his tribe gone, Hit-Monkey set out on his journey as ""a killer of killers"" with a duffel bag full of guns. Searching for General Kato, the one who gave the orders to kill the nameless assassin he starts to kill every man Kato has engaged. After Kato realizes that a macaque is searching to kill him he hires Bullseye, his best man as a body guard. The spirit of the deceased hitman starts to guide him to the city were probably Kato is. Hideki Hiyshi, a politician involved in the plot too was his first target but Hit-Monkey shot his innocent assistant, and ran away crying. The ghost assassin scolded him. A thrown away news paper said that Kato's daughter was getting married so the perfect place for the hit was in Kato's garden. He has recently opposed SpiderMan and Deadpool. An unnamed assassin was marked for death after his part in a failed political coup. After blowing up a squad of enemy soldiers, he decides to run for his life. Passed out in the snow after four days of fleeing, he was rescued by a troop of Japanese macaques. The monkeys allowed the assassin into their clan, with the exception of a lone monkey. The man knew that he would be hunted so he trained daily using snowmen as training dummies. Quietly, the monkey that distrusted him watched, and eventually picked up on the fighter's skills. The assassin's health began to fail, and as the tribe of monkeys tried to save him, the lone monkey objected, eventually fighting the rest of the group with his newfound skills. Because of the violence he displayed, the monkey was banished from his clan.",Marvel Comics,Marvel Comics,Correct,438
"Roma then relinquished control of Otherworld to Captain Britain, and he and Meggan remained in Otherworld as effectives rulers of the multiverse, with as first action their use of the Excalibur sword to restore the integrity and humanity of the warpies. Unbeknownst to Brian, the events leading up to his assumption of the Otherworld were orchestrated by Kang the Conqueror and Widget, for reasons yet to be revealed.   Recently, Brian and Meggan appeared to Kelsey Leigh, a British mother who had died protecting her kids and Captain America from the Wrecking Crew with Captain America's own shield, and offered her the choice between the Amulet and the Sword, making her into a new Captain Britain upon her choice of Excalibur. Brian himself was captured by Morgan le Fay, who hoped to kill him, thereby destroying Britain via Brian's mystical connection with the land, but since his power was transferred to Kelsey, the plan failed. Civil War After discussions with Doom and Namor, the Black Panther and his wife Storm tried to recruit Brian in their movement against the US Super-Human Registration Act. He decline the proposition and was fustiged by Ororo for his attitude. Claiming the return of the Ebony Blade as part of the British legacy, but this was denied by T'Challa, as it was been used by a mercenary against him. (The Sword was later given back to Dane Whitman by Storm.   Captain Britain was forced to come back to Earth to stop the House of M reality from coming into existence. During this time, his wife Meggan apparently sacrificed her life to save a rip in time from destroying the Earth. This had resulted in Brian becoming active as Captain Britain again and the formation of the all new Excalibur, along with Pete Wisdom, Sage, Juggernaut, Dazzler and Nocturne.   During the Secret Invasion Captain Britain and MI13 believed that the Skrulls planned to invade Avalon through The Siege Perilous. In taking the magical realm of Avalon the Skrulls would control the Earth's magic. To keep this from happening Brian tried to stop a Skrull nuclear missile head on by sacrificing himself. As British military, MI6 and Avalon where making their last stand Merlin resurrected Braddock. Immediately Brian entered Avalon and pulled out Excalibur from the stone. Upon arriving at Brittan's last line of defense attacked the Super-Skrull Commander. After the battle going in favor of both sides Brian threw the final blow. At the same moment Satannish, who had given Wisdom one wish in exchange for letting him free on Earth, destroyed all Skrulls in the British Isles and any that have and will try to enter.",Marvel Comics,Marvel Comics,Correct,440
"An explosion allowed the heroes to escape, but also left Donna mistakenly believing Chris had died. For his protection, Maverick had Chris take a code-name, and he chose ""Bolt."" On a subsequent visit to Keller's clinic, Chris learned that Maverick's powers had returned, forcing the Virus into remission. He then aided Keller in opposing a group of would-be burglars, using his powers to mask his true identity. Later, seeking to fight mutant persecution as a super-hero, Chris moved to New York and was again reunited with Donna. Soon after, Chris aided several other teen heroes in battling the alien warrior Blastaar, after which the heroes banded together as a new incarnation of the New Warriors. Initially, Chris kept his Legacy Virus infection a secret from his teammates. Having nowhere to live, Chris slept on the streets for a time before turning to Donna for help, after which she let him sleep on the floor of her room for a time. As a Warrior, Chris helped his teammates save Namorita from Genecide and her Eugenix soldiers, after which they became involved in a war between rival gangs Born 2 Die and Lobo's Boys, during which Chris' teammate Aegis opted to save his friend James, one of Lobo's Boys, instead of Chris, resulting in Chris being injured by a falling wall. Subsequently investigating the gang's arms supplier, Harvey Traynor, a recovering Chris and his teammates clashed with the armored mercenaries Heavy Mettle, with Chris facing off against the energy arrows of Warbow. Traynor went to prison, where he was killed by an agent of Heavy Mettle's employer, Silvermane. The Warriors were also involved in the ""contest of champions"" held by the alien Coterie, during which they bested fellow teen heroes the Slingers in a game of basketball only to be subsequently defeated in combat by the Black Panther (T'Challa). Chris and the Warriors later teamed with teen mutant heroes Generation X in opposing Fletcher Traynor, who sought revenge on the Warriors for his father's death and was mutated by one of his father's weapons into the monstrous Biohazard. After Biohazard's defeat, Namorita learned of Chris' lack of accommodation and offered him the spare room at her apartment. The Warriors next prevented an armored car heist by the Mutant Force during which Chris opposed Peeper. Media reports of the clash mistakenly referred to Chris as ""Bulk,"" much to his chagrin. Subsequently, the Warriors battled Heavy Mettle once more, with Chris besting the aquatic powerhouse Barracuda by electrocuting him.",Marvel Comics,Marvel Comics,Correct,415
"The X-Terminators and New Mutants returned to X-Factor's Ship, with the mutant babies and Gosamyr. Due to her actions during the demonic invasion, Tabitha was expelled from Phillips Academy and, while the New Mutants returned home and X-Factor attended funerals, the X-Terminators found an Atlantean horn and accidentally called a giant sea creature. The New Mutants returned and, with the aid of Namor the Submariner, they defeated it. After the creature's defeat, X-Factor returned and the New Mutants began to live on Ship, merging with the X-Terminators as Professor X's mansion had been destroyed. One of the new members, Sam Guthrie (Cannonball), Boom Boom began a crush with. The all-new New Mutants team returned Illyana to her home in Ust-Ordynski Collective, Siberia, with her parents. On their return home, Mirage and Brightwind, her winged horse, became ill with a mystical fever. Unaware of how to save Mirage, Ship suggested that the New Mutants go to Dr. Strange to help her. After arriving at the Sanctum Sanctorum, the New Mutants were startled to learn that Dr. Strange was apparently ""dead"" and they were attacked by a possessed, inflamed Mirage and Brightwind. Mirage reasserted control and Dr. Strange, disguised as ""Dr. Sanders"", returned all that her body had damaged to normal. While returning Mirage and Brightwind to Ship, the New Mutants were attacked by Freedom Force (government-chartered mutant enforcers composed of former members of the Brotherhood of Evil Mutants), believing Rusty caused all of the flames. The battle between the New Mutants and Freedom Force awoke Mirage and Brightwind and Ship suddenly warped-off into space with X-Factor. After Rusty and Skids learned that the government never returned the infants to their parents, Dr. Strange teleported the remaining New Mutants to Asgard. After arriving in Asgard, the New Mutants realized that it had been sent to the Negative Zone and Dani Moonstar left them. After being captured, by the Dwarves, the New Mutants were released and joined them, due to Cannonball's relationship with Eitri, king of the Dwarves. As a member of the New Mutants, she followed the group under the leadership of Cannonball and, later, Cable. She also remained with the group as Cable transformed it into X-Force. During this time, she became enamored with Cannonball and the two developed a romantic relationship. During her time with X-Force, Tabitha underwent a series of progressive changes in attitude, growing more and more serious as her role as a costumed hero. For a short time at the beginning of her tenure, she called herself Boomer. Later, she changed her code name to Meltdown to better match her more drastic changes in looks and attitude.",Marvel Comics,Marvel Comics,Correct,440
"Jacqueline Falsworth was kidnapped by the vampire Baron Blood. Desipte being rescued by Captain America and Union Jack, Jacqueline had lost too much blood, so she got an emergency transfusion from the original Human Torch, which gave her flame powers.",Marvel Comics,Marvel Comics,Correct,40
"She also attempted to enroll at the local FBI office as a field agent,but they dismissed her, citing many of the same reasons.  A few nights later, Barbara found an opportunity that would ultimately change her life forever. The Gotham City Police Department decided to host the Million Dollar Masquerade Ball at the Bristol Country Club. Dozens of Gotham City's most affluent leading citizens, including the likes of Bruce Wayne and J. Devlin Davenport, were expected to attend. Barbara sewed a stylish, feminine version of Batman's costume based upon designs that she first conceived as a child. For the most part, she intended on crashing the party as this ""Batgirl"" merely to spite her father.  When she arrived however, she found that somebody else had decided to crash the party before her. A costumed criminal named Killer Moth and his cronies raided the country club, grabbing Bruce Wayne as a hostage. It was their intent to rob the charity proceeds as well as extort hundreds of thousands of dollars from Gotham's wealthiest patrons.  Barbara now found herself acting as Batgirl in deed as well as in name. She tackled Killer Moth in the hopes of rescuing Bruce Wayne from his clutches. What she didn't realize though, was that Bruce Wayne was actually Batman. He allowed Batgirl to rescue him so that he could sneak off to change into his work clothes. Returning to the scene with his sidekick, Robin, Batman discovered that Killer Moth had gotten the better of Batgirl. In order to free her from the morass of Killer Moth's silk-spinner gun, they were forced to let the criminals get away. Batman chided Batgirl harshly for her foolish antics, and warned her against pursuing such a reckless lifestyle. Hearing such criticism from a man she idolized for so long was a shock for Barbara, but it did not deter her from her chosen path. Despite his disapproval, he sent her Batarangs via Dick Grayson, who subtly revealed to her that he was Robin. Barbara was able to solve the case, and by story's end, Batman swore her in an oath and also revealed his identity.  As the years went on, however, Barbara found her role as Batgirl less and less fulfilling, and she eventually more or less retired. That's when the Joker showed up at her house, shooting and paralyzing her and when he kidnapped her Uncle Jim. Batman rescued Jim Gordon, but 19 year-old Barbara Gordon's career as a crime fighter was over. She spent a month in a deep depression.",DC Comics,DC Comics,Correct,423
"Coolen wing was born in Hokkaido where she lived with her mother.However, her mother eventually walked out of her life. Wing's father the sent her to live with her grandfather. He trained Wing in a martial arts and sword mastery before passing her his katana.",Marvel Comics,Marvel Comics,Correct,45
"At times, Gamora would inadvertently tap into the power of the Time Gem, and get a good glimpse of the future. One of her visions was of a man standing over, what appeared to be, a deceased Adam Warlock. This frightened her, even more so when Warlock was put into a coma after the battle with the Magus. While the Watch, struggled to come together as a team, Gamora stayed by Warlock's bedside and protected the island from foreign invaders. However, one day, a man by the name of Maxam washed up on their shore, and she immediately recognized him as the man from her vision. This suspicious man had no idea who he was nor where he was, but even so, Gamora voted for the Watch to not help him, but Warlock (who had recently woke up from his coma) said they'd help him for the time being.  Yet another universal threat emerged when Adam Warlock's good side sought to eradicate the universe of all sin by simply eradicating the universe itself. However, Gamora (and many of Earth's heroes, including fellow Infinity Watch member Moondragon) was manipulated into joining the Goddess' crusade. A war broke out between those manipulated and those non-manipulated with both side suffering heavy casualties. Those manipulated were broke out of trance when Warlock and Thanos defeated the Goddess and banished her to soul world.  The team returned back to Monster Island where they could focus on helping Maxam, to Gamora's displeasure. It was a much needed break, but then Warlock called the Watch to help the Silver Surfer defeat the mentall unstable Thor. The Watch went against Adam's instructions and attacked Thor without him present, which resulted in Thor taking the Power Gem from Drax. After this catastrophic mistake, Warlock and Silver Surfer were forced to enlist the help of Doctor Strange to take them and the rest of the Watch to Asgard. They were not met gladly there, for they had to fight their way through Trolls and Asgardians warriors (and even had to get help from Thanos)) to get Odin to finally help Thor. In the end, Thor was cured and Asgard was indebted to the Watch.   Her true feelings for Adam Warlock began to show further when Maya came to the island and she and Adam fell in love because of Count Abyss' love potion. She believed the best answer was to simply kill Maya. Eventually she accepted it for what it was and went to help rescue her from Abyss in his dimension. The Watch were successful in rescuing Maya, but she ended up marrying someone else.  Things would quickly get out of hand for Gamora again.",Marvel Comics,Marvel Comics,Correct,446
"James W. Gordon is a Gotham City police officer, for a long time, serving as commissioner of the GCPD. He is a stalwart ally of Batman, and uncle and guardian of Barbara Gordon (Batgirl).",DC Comics,DC Comics,Correct,34
"The note reads, ""This is yours - We're not done.""      Deathstroke was a founding member of Lex Luthor's Secret Society of Super Villains. He was seen hiding in a warehouse south of Metropolis, waiting to ambush the Freedom Fighters with several other members. The battle didn't last long, and by the end, Deathstroke had impaled Phantom Lady through the chest, calling his action ""just business"".    He was the employer of an undercover Dick Grayson, whom he hired to train his daughter Rose. However, after the two had a confrontation with Superman, Deathstroke discovered that Nightwing had been teaching Rose the values of heroism. He could not kill Grayson in front of his daughter because doing so would undo all of Slade's teachings. Nightwing offered a deal: he would stay away from Rose if Slade would keep the metahuman villains out of Blüdhaven. The deal held for 34 hours when Slade, under the orders of Alexander Luthor, Jr., the real leader of the Society, went with several villains - who included old Titans and Doom Patrol foes and Brotherhood of Evil members Monsieur Mallah and Brain - to drop Chemo, another fellow villain who appeared to be a nearly brainless monster made of pure energy and radioactive chemicals, on Blüdhaven, killing thousands. Slade gave the explanation to the Brotherhood that Nightwing should be made to believe that he can never go home again.    Grayson took the first of his revenge by bursting in on Deathstroke and Rose's training session, revealing to the latter that the Kryptonite that Deathstroke had implanted in place of her missing eye was radioactive and deadly to humans as well as to Kryptonians (though slower in its effects on humans, as revealed by Lex Luthor's old possession of a Kryptonite ring that forced him to transfer his brain to a cloned body). Angered, Slade went after Nightwing with a grenade, only to have Rose try to stop him. Amid the smoke of the resulting explosion, Rose fled, telling her father that she hated him. Dick disappeared as well, but not before leaving a note for Slade warning him that he'd be back to make him pay for Blüdhaven.    At the climactic Battle of Metropolis at the conclusion of Infinite Crisis, Slade was confronted by Batman, Robin, and Nightwing. During the struggle, he was questioned regarding his motives for aiding the Secret Society. His claims of monetary motivation were deemed unsatisfactory, and he was told to take responsibility before being rendered unconscious.      Slade appears after the one year jump. Apparently in hiding, he nearly murders a crony of several Star City businessmen who want to hire him for a murder.",DC Comics,DC Comics,Correct,442
"Bob is later seen assisting Deadpool defeat Tiger Shark. When Deadpool asks him what he's doing Bob reply's ""U-uh saving you"". Then Deadpool tells Bob to throw him the rifle, Bob throws it to him but it doesn't get to him and the rifle falls into the water where Tiger Shark is waiting because ""Bob throws like a girl."" He is then knocked into the water. However Deadpool saves him at the last second and they were able to outmaneuver Tiger Shark for a while. It was Bob, after a shot to the hand, that explained to Deadpool that he along with Tiger Shark were hired by Norman Osborn, who Deadpool soon realizes stole from him during the height of the Secret Invasion against the Skrulls.  Later, Bob is called upon by Deadpool because he wants Bob and himself to be pirates. Bob gets stuck as Deadpool's parrot and catches scurvy (or possibly heat stroke).  During the World War Hulks story line, Bob uses a time platform to send Hulkpool (a gamma-powered Deadpool) back in time to kill Deadpool. Unfortunately, it sends him to an alternate reality where Thing is Blackbeard. Bob tries to correct the mistakes and ends up transporting dinosaurs to that reality.",Marvel Comics,Marvel Comics,Correct,205
"Tinya Wazzo was the only Bgtzlian who could interact with the main universe. When she phased, she was visible in both universes, which could cause confusion. She's a member of the Legion of Super-Heroes as Phantom Girl. Of all of the Legionnaires, she digs the 21st century history the most and is considered the go-to expert on matters of legend.  Tinya is one of the few who know the truth behind Cosmic Boy's Dominator genocide plan, that they weren't exactly killed, as the public believe, but rather put in the Phantom Zone.",DC Comics,DC Comics,Correct,92
"Alfred Pennyworth is the British butler and valet to the Wayne Family. He took up the role of legal guardian of Bruce Wayne after the murder of Thomas and Martha Wayne. Alfred grew up in England and joined the army once he became of age. He severed in various conflicts all over the world, gaining skill in as a field medic. He spent years as a member of soldier in the British Guard and later became a member of MI5 before retiring and taking up a career as an actor.  He performed all over the UK and was following his dream that is until his father dies. He is contacted by Thomas who informs him of his father passing, and he agrees to become the Waynes' butler, only to honour the dying wish of his father. At the time he begins working for the Waynes, Bruce is but a young child. After several months, Alfred voices the desire to return home to continue his life as an actor. However, these plans are forgotten when young Master Wayne returns home, after getting into a fight with a school bully. Alfred teaches Bruce to a way to deal with the bully strategically, rather than using brute force. His advice, Master Wayne manages to take care of his bully problem. On returning home, Bruce requests that Alfred stays, and Alfred agrees without a second thought.  After the murder of Thomas and Martha Wayne, Alfred was named Bruce's legal guardian, however, social services combated the will thinking that Bruce should not be raised by a servant. However, Bruce managed to remain in Alfred's care by, despite his young age, bribing the social service agent into allowing Alfred to raise him.  Alfred raises young Bruce Wayne together with Dr. Leslie Thompkins a close friend and colleague of Thomas Wayne. Later, Bruce decided to travel abroad and Alfred stayed at Wayne Manor and begins a short lived romance with Dr. Leslie Tompkins.   Alfred is pleased that young Master Bruce returned home to Wayne Manor after many years of study and training. It is on his return that he supports Bruce's plan to take back Gotham City from the criminals and helps him as best he can. After his first outing it is Alfred that patches him up, but only after Bruce discovers a bat in the sudy that inspires him to don a costume to strike fear into criminals. When Lieutenant Gordon and his wife come to visit Bruce he helps convince them that his employee is nothing more than a playboy billionaire that hurt his leg in a skiing accident.",DC Comics,DC Comics,Correct,435
"With very little time left, Lyja entrusted herself to a human doctor, and Johnny handed him the birthing medicine she needed. The doctor discovered that the medicine put Lyja in a spongy state, and he searched the mass for the baby. He pulled out the implant that gave her the energy powers, and tossed it away. Then he finally found the baby, which turned out to be an egg. Lyja and Johnny spent the next few days coming back to their incubated egg. Johnny even considered quitting the team, as he feared for the life of his baby with all the dangerous things going on at the time. He had finally decided to remain behind while the rest went out on a portentously fatal mission to stay with his child. A man appeared named Raphael Suarez who showed up as the Collector appeared to take their very unique child, and Raphael helped fight off a robot sent by the Collector with the lazerfist powers he accidentally received from Lyja's implant. Moments before, Lyja herself discovered that her own powers were gone. After analyzing the egg, the Collector pronounced it a sham and disappeared. Lyja revealed that Johnny was not the egg's father, but it was actually an artificial implant. She explained that she had tried to tell him, but couldn't. As the egg began to hatch Johnny was whisked away to fight alongside his teammates.  The egg then hatched and a huge, tentacled monster sprang forth. Lyja and Raphael fought it, with the help of AntMan and Namor, but only when Lyja used her Skrull abilities to transform into a twin of the creature was it finally beaten. Johnny and the rest of his team reappeared and Lyja explained that the creature was a Sha'Barri, implanted in her to destroy the Fantastic Four. She tried to make it up to him and offered to start their life over, but Johnny refused to trust her again and they both went their separate ways. Lyja continued to keep tabs on Johnny as Laura Green, but stayed estranged from him. She eventually decided to stay on Earth and assume a human life, as she no longer felt connected to her Skrull heritage.",Marvel Comics,Marvel Comics,Correct,369
